Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17004_001,SE_A17004_002,SE_A17004_003,SE_A17004_004,SE_A17004_005,SE_A17004_006,SE_A17004_007,SE_A17004_008,SE_A17004_009,SE_A17004_010,SE_A17004_011,SE_A17004_012,SE_A17004_013,SE_A17004_014,SE_A14006_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"06045","Mendocino County, California","ACSSF","ca","050","00","0000035",,,,,"06","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County",,,,38972,2576,3191,2789,873,5365,1596,320,1589,3203,8504,4430,2129,2407,56378,91534,67466,58074,554,2779,1969,124,490,3476,24068,12727,81,915,50,0,5569,4726,65151,8704,17147,23338,9612,4312,1367,671
"06047","Merced County, California","ACSSF","ca","050","00","0000036",,,,,"06","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06047","Merced County",,,,108194,12326,8623,11778,4036,11804,7626,968,3075,7146,23797,7682,4275,5058,58861,279150,108420,72416,7405,893,20418,749,514,6025,170730,56481,652,2374,527,48,93464,17184,165461,49054,43880,49268,15979,5065,1388,827
"06049","Modoc County, California","ACSSF","ca","050","00","0000037",,,,,"06","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06049","Modoc County",,,,2993,620,160,24,54,186,90,21,47,325,637,247,250,332,51090,8723,7401,6686,172,297,67,0,0,179,1322,730,0,12,0,0,448,132,6564,955,2136,2180,864,320,80,29
"06051","Mono County, California","ACSSF","ca","050","00","0000038",,,,,"06","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06051","Mono County",,,,7097,196,535,312,11,436,232,66,675,680,1147,2179,321,307,71138,13291,9663,8518,3,103,608,0,147,284,3628,2159,15,119,5,0,639,691,9497,1214,2124,3355,1833,452,446,73
"06053","Monterey County, California","ACSSF","ca","050","00","0000039",,,,,"06","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06053","Monterey County",,,,189807,29583,13637,10138,4890,17936,7426,2518,6661,19479,37563,21527,8075,10374,82013,438953,176992,126356,10124,686,24534,1794,1020,12478,261961,63792,814,2498,1086,229,167608,25934,280524,75771,56912,73530,44514,19979,5981,3837
"06055","Napa County, California","ACSSF","ca","050","00","0000040",,,,,"06","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06055","Napa County",,,,70147,3415,4326,9042,1829,7064,2561,928,3108,7409,15001,9355,3219,2890,97498,138795,90597,70719,2750,327,10661,296,532,5312,48198,22208,101,781,125,6,16875,8102,98545,14541,17698,29842,24141,7850,3171,1302
"06057","Nevada County, California","ACSSF","ca","050","00","0000041",,,,,"06","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06057","Nevada County",,,,46744,680,4518,2146,819,5562,2292,702,2711,6565,10612,4927,3079,2131,74617,102090,92098,85552,381,373,1161,148,219,4264,9992,6841,46,127,40,0,1012,1926,78580,3827,14963,29399,19385,7595,2182,1229
"06059","Orange County, California","ACSSF","ca","050","00","0000042",,,,,"06","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06059","Orange County",,,,1596831,10920,95096,189821,53891,159571,64419,31140,138159,235359,324530,162860,81700,49365,100485,3182923,2099830,1242725,50161,4423,672015,8073,9744,112689,1083093,464867,4914,14158,6421,1065,402268,189400,2197190,294180,378888,598758,585008,233094,67813,39449
"06061","Placer County, California","ACSSF","ca","050","00","0000043",,,,,"06","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06061","Placer County",,,,185819,1388,13644,11278,4146,19814,8526,3429,16272,25036,43255,15631,8296,15104,99734,400330,341695,281400,6197,1198,33652,531,1413,17304,58635,30191,218,754,359,270,12119,14724,281849,14584,49539,100475,76411,28359,9227,3254
"06063","Plumas County, California","ACSSF","ca","050","00","0000044",,,,,"06","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06063","Plumas County",,,,7760,429,723,562,69,713,515,78,304,582,1899,860,299,727,57885,19631,17742,16214,299,235,126,27,0,841,1889,1187,44,135,13,0,152,358,15047,820,4108,6655,2233,958,161,112
